LIAS_x,LIAS_y,LIAS_z,RIAS_x,RIAS_y,RIAS_z,LIPS_x,LIPS_y,LIPS_z,RIPS_x,RIPS_y,RIPS_z,LFLE_x,LFLE_y,LFLE_z,LFAL_x,LFAL_y,LFAL_z,LFCC_x,LFCC_y,LFCC_z,RFLE_x,RFLE_y,RFLE_z,RFAL_x,RFAL_y,RFAL_z,RFCC_x,RFCC_y,RFCC_z,LFME_x,LFME_y,LFME_z,LTAM_x,LTAM_y,LTAM_z,LFM5_x,LFM5_y,LFM5_z,LFM1_x,LFM1_y,LFM1_z,RFM5_x,RFM5_y,RFM5_z,RFM1_x,RFM1_y,RFM1_z,RTAM_x,RTAM_y,RTAM_z,RFME_x,RFME_y,RFME_z
-0.1323125205534511,0.9128823206884179,-0.39314587954387004,-0.07028684811684205,0.9259357963658165,-0.09482825252831602,-0.31323047072543264,0.9279327171788458,-0.23797804439288095,-0.2993118145790814,0.9279982872115463,-0.16437236557121948,-0.16966601051079866,0.42357462415941854,-0.3813209857425214,-0.1971828456129031,-0.01989514471265364,-0.36414344579851626,-0.22596655911297348,-0.04350199944419019,-0.305202186068512,-0.06587463472258953,0.43099233917416546,-0.03342477730014748,-0.07365929620862782,0.015475224492650798,0.04166563941855789,-0.1279799813491827,-0.01547522449265077,0.0019524661723815395,-0.14284868657758126,0.40944659284342755,-0.2779578030478619,-0.1517544616209896,-0.0013648208618359456,-0.2900046240358705,-0.07700954192808068,-0.05125980178735518,-0.4322105655332188,-0.019468926503988848,-0.03502474414403203,-0.36096080491994975,0.06660883978689314,-0.0196068497887065,0.04949943044835853,0.08098437880856946,-0.011343599196595056,-0.04559449810359548,-0.07393392238683483,0.015475224492650798,-0.04557057176332091,-0.08752137739193883,0.4053043503824857,-0.12249044470222237
-0.13223609368017492,0.9129039553494822,-0.3931977007894636,-0.07024669632398772,0.9259112455054345,-0.09481152504407322,-0.3131841971537721,0.9279749960628184,-0.23798557911230483,-0.2993753087777824,0.9279746887192395,-0.16425389892727632,-0.16947721987131437,0.4236023418518232,-0.38137142701012905,-0.1971555517994094,-0.019874597893991507,-0.36414038660420356,-0.22592371244334086,-0.04354675409831119,-0.3051431551998338,-0.06585439485800382,0.4309894905636531,-0.03344563958249386,-0.07366451324402273,0.015470209323623106,0.041638633978914846,-0.1280008261734521,-0.015462401844890443,0.0019886511421147446,-0.1427237607180598,0.4094287010530867,-0.27800336099723666,-0.1517328789217391,-0.001372014412990702,-0.2900225982657803,-0.07697681154322294,-0.051249278464275544,-0.43222118075919036,-0.01947050743479911,-0.035020632895428394,-0.36096483716915984,0.0665971588247187,-0.01960118143042351,0.04951497085913359,0.08099226907982435,-0.01135150260545726,-0.04561862986666576,-0.0739380601942009,0.015493039960583911,-0.04557909162045143,-0.08750285572848443,0.4053106152235254,-0.12250459941103711
-0.1322064187314207,0.9128996213648413,-0.3932341711992579,-0.0701871092706432,0.9259124362508918,-0.09481116655282067,-0.3130619662577291,0.9279673511455533,-0.238027471407438,-0.2992828585142142,0.9279877834318524,-0.1643042334176754,-0.1693667529772791,0.4235986757134313,-0.3813617938212233,-0.19713378083802063,-0.01988471592395153,-0.36413081264515135,-0.22590319126393743,-0.0435300063703086,-0.3051689260262398,-0.06583691512862644,0.430995775581856,-0.03345596462027037,-0.07366791361420555,0.015476176940224344,0.04164930521032087,-0.12799878595925368,-0.015453563716446059,0.0019645025847742636,-0.1425944845995275,0.4094181552709046,-0.27802850387552,-0.15171666541611573,-0.001387497651868276,-0.29000857183183365,-0.07701941372649357,-0.051204946175403006,-0.4321728764325736,-0.01945041916339002,-0.03501188001356732,-0.36097402379601196,0.06660948152630711,-0.019609190089045173,0.049502161759920615,0.08099965141562329,-0.011351689341758328,-0.04561879119460949,-0.07388397929627616,0.015506948076505427,-0.04560229584190281,-0.08743714764665805,0.40531001766352875,-0.12251774792740751
-0.13214429452015858,0.9128759569278241,-0.3933118914347808,-0.07012721140179334,0.9259073652299968,-0.09481651497420723,-0.31302236386090077,0.9279853245382392,-0.2380441003433574,-0.29922698534277803,0.9280091642740483,-0.16436027476725473,-0.16922476886317722,0.4236162401474328,-0.3814068943527934,-0.19712520330472066,-0.019841913165252308,-0.3641444145831465,-0.22591499003503002,-0.04351065191850585,-0.3051729851491895,-0.06579662039505185,0.4310030064625389,-0.033459225361857886,-0.07364934183008776,0.015481928693804707,0.04163356730784201,-0.12800023437776964,-0.015468279440439756,0.0019546786822328133,-0.14249138754134882,0.409462574647907,-0.27812626724765205,-0.15172924825398887,-0.0013886566800338715,-0.2900057872978025,-0.07698254292083712,-0.05124528545985673,-0.4322127222494307,-0.019443836203851095,-0.03500646290880247,-0.3609699820240398,0.06661148862196761,-0.019605000413591256,0.04950386101699378,0.08100109422572432,-0.011354795519071433,-0.04561166327432992,-0.07390072908902223,0.015531218967049003,-0.0456150838492998,-0.08743000058464834,0.40532417886359584,-0.12254527542998747
-0.1320648033778029,0.9128626473641877,-0.39337379072622103,-0.07005645366249497,0.9259115289326374,-0.09481688617186385,-0.3128958545192695,0.9279418347382563,-0.23812068727371402,-0.2991985806241646,0.9280131197534854,-0.16443733479933953,-0.16919530951763218,0.42361719135444353,-0.3813921181007895,-0.19713381558276605,-0.019867658201706696,-0.3641186923167061,-0.22590207668108914,-0.04352570035279427,-0.30517516496350827,-0.06578925973192495,0.4310029234050635,-0.033476021691033836,-0.07366283638788129,0.015497069206196416,0.041631225919477405,-0.12800786331578462,-0.01544929884576654,0.0019741524365604335,-0.1424139266308136,0.40948799318809526,-0.27811235246861127,-0.15171506137076585,-0.001397668451094937,-0.29000646864482194,-0.07698468628665628,-0.051236169337654736,-0.4322237680243679,-0.019435956596273563,-0.035028649033275884,-0.3609622457826219,0.06660785076668613,-0.01959582226240364,0.04951824642764929,0.08098382904764773,-0.011353106681997516,-0.04560768330280712,-0.07391070036512215,0.015518940231167865,-0.04561470959791308,-0.087383532331413,0.405322667891499,-0.12255363241548345
-0.13195735992128055,0.9128693204214291,-0.39341507220185584,-0.06997943471804025,0.9259038909096553,-0.0948451532649051,-0.3128289309357223,0.9279520193734297,-0.23815349712279316,-0.29905280809230406,0.9280544164428542,-0.16458580448169982,-0.16917727987793335,0.42358788350387794,-0.3814150882305576,-0.19712163170793223,-0.019853205463021183,-0.36409571823479797,-0.22589948051853032,-0.043519347600626326,-0.305174655365764,-0.06576101552138147,0.4309889275493956,-0.03349374386617979,-0.07365154476428076,0.015481303091413788,0.041633444525148944,-0.12798631569266955,-0.015453097866645706,0.001926970068694439,-0.142396055089055,0.40947150711413455,-0.27812606245568405,-0.1517103286457026,-0.0014060543959142913,-0.2900224893289197,-0.07700389160560228,-0.05125970949240708,-0.43219366647018165,-0.019436434082440723,-0.035022466597720986,-0.36097733605970916,0.06659421684972408,-0.019617736062217533,0.04948903878859734,0.08099734062475619,-0.011341017818504835,-0.04562557832581632,-0.07392347732006183,0.015468057168502795,-0.04560685712656376,-0.08735876055349351,0.40528640070850164,-0.12258850040133222
-0.13184216597872855,0.912843438193515,-0.3934467506665683,-0.06994084866456624,0.9258893036367664,-0.09486723375285191,-0.31273747617178627,0.9279610330157126,-0.23819172924357127,-0.29906263953435264,0.9280572777087951,-0.1645630839095138,-0.16916372277868108,0.4236071039496917,-0.3814059122741177,-0.19714172499281118,-0.019862354382793275,-0.36408657081047324,-0.22588096913445427,-0.04354280209411828,-0.3051657034342057,-0.06574212630314824,0.4309982713267558,-0.033503361322453656,-0.07365600579636444,0.015480661062555821,0.0416167128747314,-0.1279930262129917,-0.015438350726737125,0.0019066634827056006,-0.14239924019173494,0.4094758741006182,-0.2781106746158431,-0.151710729966759,-0.0013828560303803666,-0.29000467568695737,-0.0769605553994599,-0.051234271889265666,-0.43220230468803056,-0.01943411161602354,-0.03502003438785602,-0.36096720336935006,0.06660666394336018,-0.019642059464236354,0.049468962638985314,0.08099499409985148,-0.01134800105760609,-0.04562101822038703,-0.07391558973143003,0.015532842623810016,-0.045617836739408224,-0.08735522548863722,0.40529281904666375,-0.12256049277284108
-0.13169273482884686,0.9128187732366803,-0.3934638990655419,-0.06984436591089804,0.9258886975853509,-0.094906631315775,-0.3125777683431079,0.9279868240612696,-0.23830154329074615,-0.29894673236024794,0.9280822554521257,-0.16471379328500893,-0.16916671754572526,0.42359171912975735,-0.3814200865612228,-0.19713578318470526,-0.01983687639082974,-0.3640768830113454,-0.22592126455714956,-0.04352513160868159,-0.30515543093970615,-0.06572571263444182,0.43099969046667996,-0.03350994020043327,-0.07367059736368164,0.015468760535014121,0.041610161267794515,-0.12800878074448058,-0.015445922408208579,0.0019261300792047242,-0.142412119753415,0.40950759393121045,-0.278101025854051,-0.15171682426318578,-0.0013673553079480358,-0.2900225691292517,-0.07697942588403345,-0.05122950508809717,-0.4322199886339302,-0.019445902800287795,-0.035010578431359886,-0.36096052804745593,0.06659786879095905,-0.019677380693933703,0.04945049036706467,0.08100705426507904,-0.011339031719650644,-0.04561817812649335,-0.0739005844138389,0.01552228133407952,-0.04560146324362335,-0.08733381176565896,0.4052592213183975,-0.1225693620718297
-0.1315553661985922,0.9127868155318932,-0.3933495930380949,-0.06977024717523478,0.9258914919698904,-0.09492350650992859,-0.31245901239017915,0.9279661688634191,-0.2383975820472914,-0.29883308903615824,0.9280824143537847,-0.16476884801244565,-0.16921554030588937,0.4235811054891105,-0.3814237328183696,-0.19712391926555456,-0.019861624629117287,-0.36410984243758504,-0.22592070695920718,-0.04351105787141086,-0.3051521916334889,-0.06571414117052177,0.4309938244397972,-0.03351895732704638,-0.07365930253708614,0.015482139788827239,0.04160735690769271,-0.12800205958746297,-0.0154341427481504,0.0019000279794183228,-0.14248786576687789,0.40942234350399886,-0.278074408502291,-0.1516951151084221,-0.0013655443462556663,-0.2900025243929552,-0.07696424147100556,-0.05124829422734299,-0.4322197126603825,-0.019446019854347407,-0.03503355803886599,-0.36097032474747237,0.06659466227082611,-0.019613063777512575,0.04951722505861805,0.08100198027846015,-0.01135390629762622,-0.04561030835153851,-0.07391201592182478,0.01546019119822891,-0.04561702317875241,-0.0872756532806308,0.40529793564495853,-0.12258039740187229
-0.13137218830441694,0.9127814638974174,-0.3933510521456872,-0.06965983334198539,0.9258890260992684,-0.09496267679499593,-0.3123591224277148,0.9279625219243015,-0.23848843565816025,-0.29874491290013583,0.928044440311846,-0.1648511398026557,-0.16922048735968043,0.4235710986155794,-0.3814607249947711,-0.19711693740895592,-0.0198933276926844,-0.3641153245397271,-0.2259268342995171,-0.043539739831749705,-0.3051626333864953,-0.06570082363313423,0.43100048307975086,-0.033498642742115864,-0.07366347880036,0.015505757911972028,0.04162094494534299,-0.12802088703001724,-0.015427425966552243,0.0019325259010877227,-0.142456360492055,0.40943488198520855,-0.27811889238558923,-0.15172497675029656,-0.0013862493881530921,-0.29003227665891235,-0.07698131305204597,-0.05125294696924199,-0.43222082916904886,-0.01944137164193538,-0.03501133705519057,-0.36095462937236156,0.06660405855550622,-0.01961369853826029,0.049520530695773446,0.08101361197377122,-0.011350958301949723,-0.045615658547486504,-0.07392560078592297,0.015464114308542519,-0.04560646750999575,-0.08725254508622488,0.405288913020969,-0.12258318888206089
-0.13119749119260993,0.9127425968121281,-0.3933678885457001,-0.06958050450580955,0.9258666853399589,-0.09496691593694431,-0.312244835347141,0.927972929766715,-0.23859885642163894,-0.29864499257497856,0.9279744704155671,-0.1649236229860517,-0.16923879078784787,0.4235718258099564,-0.38146036600917377,-0.1971207461944589,-0.019894559167688,-0.36412263192525873,-0.22592567018990178,-0.043515919285320996,-0.3051784695000855,-0.06570591136295267,0.4309960203436683,-0.03351846187617749,-0.07368439390788312,0.015458401865015285,0.0415732159605966,-0.1280084420988143,-0.015442411541203224,0.0018937543036776083,-0.1425007986405244,0.4094543971347681,-0.27810918887213887,-0.15173251083949835,-0.0013816180617259657,-0.2900514784544645,-0.07697410926682197,-0.05126210604955215,-0.4322139043840472,-0.019455309298417156,-0.03502035575633919,-0.3609613112991336,0.06657630488713123,-0.01958730533342111,0.04954453048694035,0.08100249725291755,-0.011357109106039577,-0.045621559368056036,-0.07390287472472579,0.015510723086864651,-0.04560983952790462,-0.08723033885253578,0.4053010290197462,-0.12258762316576577
-0.13101338775121685,0.9127604067543329,-0.39338646253576437,-0.06946395984331921,0.9258493767856389,-0.09499578656160636,-0.3121822414034665,0.9279770370361407,-0.2386757426189577,-0.29859547650969764,0.9280657061870108,-0.16500102502719538,-0.1692454551219203,0.4235651381362774,-0.3814926152118482,-0.19713929305057393,-0.019873524891018908,-0.36412007634738774,-0.2259638435323607,-0.04345933124739404,-0.3052083007765263,-0.0656874080158632,0.4309994672338156,-0.03351288272428837,-0.07365224736148823,0.015493199660410885,0.04159964951307227,-0.1279755624941642,-0.015445961404690504,0.001885225966132914,-0.14247653916085656,0.40941436585126956,-0.27814954158367977,-0.15172448970075053,-0.0013819534285716764,-0.29005091271930655,-0.07697318809894849,-0.051255779465315024,-0.43220791225640837,-0.01945051530829256,-0.03500890813212279,-0.3609713351861783,0.06658388181877509,-0.01956070422480484,0.049561249097685556,0.08099581517906651,-0.011351417076816799,-0.04561164212446844,-0.07390836494514225,0.015508841639629616,-0.045607969865614134,-0.08722454786001099,0.4052863251179391,-0.12258336375697718
