LIAS_x,LIAS_y,LIAS_z,RIAS_x,RIAS_y,RIAS_z,LIPS_x,LIPS_y,LIPS_z,RIPS_x,RIPS_y,RIPS_z,LFLE_x,LFLE_y,LFLE_z,LFAL_x,LFAL_y,LFAL_z,LFCC_x,LFCC_y,LFCC_z,RFLE_x,RFLE_y,RFLE_z,RFAL_x,RFAL_y,RFAL_z,RFCC_x,RFCC_y,RFCC_z,LFME_x,LFME_y,LFME_z,LTAM_x,LTAM_y,LTAM_z,LFM5_x,LFM5_y,LFM5_z,LFM1_x,LFM1_y,LFM1_z,RFM5_x,RFM5_y,RFM5_z,RFM1_x,RFM1_y,RFM1_z,RTAM_x,RTAM_y,RTAM_z,RFME_x,RFME_y,RFME_z
-0.12549251646846377,0.908222392163601,-0.39502388148028567,-0.06187914636392117,0.9243441641258164,-0.10082784017268362,-0.30582601759739775,0.9333933351482773,-0.24268972770427089,-0.29153541331992755,0.9359359432187252,-0.16781068800799084,-0.15946850493721182,0.41667317402750664,-0.3873172468048943,-0.1881606325502621,-0.02501773743632045,-0.37826307789809555,-0.22108941140823268,-0.049512098845944645,-0.32150939456204053,-0.06741476607668362,0.4306528184872421,-0.03250403262959506,-0.0736751275979678,0.01540256630840095,0.041417831858997944,-0.1283204249835052,-0.01540256630840093,0.002312876590025964,-0.1331442997800953,0.4012564639300865,-0.2818893405495364,-0.14719273614503425,-0.008178155306509102,-0.300508074699831,-0.06377533864591484,-0.05666911815964243,-0.4382792487446619,-0.011011502015658814,-0.04012489023878009,-0.36375145297732114,0.06707476382709168,-0.018684738125468787,0.05011260087326688,0.08154707598196537,-0.012120394491333078,-0.04548684769321498,-0.07494671221108895,0.01540256630840095,-0.04604358503905001,-0.0926948214109794,0.40385822539723737,-0.12094045103134085
-0.12552695263326413,0.9082741489114223,-0.3949832066405466,-0.06184574003430782,0.9243497615809212,-0.10087030879479589,-0.30585878948120876,0.9334126305923117,-0.24261485112737943,-0.2915187973460048,0.9359638113840301,-0.16776133023037543,-0.15953230067801866,0.41669893263409796,-0.3873202548396978,-0.1881739673691903,-0.02503048143482805,-0.37824664738139047,-0.22088647005962225,-0.04951927086834194,-0.32140222258275075,-0.06741712397626126,0.43065789463286164,-0.032471280407376846,-0.07366845750773643,0.015415661333579397,0.04143001984574232,-0.12831650459791372,-0.015404180075591696,0.002329862617144407,-0.13318395385996723,0.40125546929098915,-0.2818712822211649,-0.1471851954582904,-0.008187046470463435,-0.30051903330357277,-0.06377820864444006,-0.056697318339652227,-0.43829224709647596,-0.011022108906904748,-0.04013860759061492,-0.3637190360175202,0.06706908014866636,-0.01864362211929499,0.05012123833891802,0.08153211163427995,-0.01211559886547537,-0.0455002784320622,-0.07481051861369675,0.015426240214018824,-0.045927522960875544,-0.09270478866765336,0.4038578057348155,-0.12093101331404027
-0.1255642735718978,0.9083131813556243,-0.39494772392468214,-0.06180804019489711,0.9243722828348327,-0.10091234098069746,-0.30581662249080693,0.9333881809176424,-0.24260001960463268,-0.291506202329129,0.9359599166498367,-0.16769081278296372,-0.15957745358736203,0.41671557070578036,-0.3872972478166501,-0.1881866455199332,-0.025010861528796766,-0.37825085544389764,-0.2210864785756792,-0.04950594283455405,-0.3214817937370533,-0.06743198920010968,0.43065054371055506,-0.03246425152132146,-0.07367905316307233,0.015394107575380248,0.041428624581791335,-0.1283257868827002,-0.01538036146644653,0.0023340306343627437,-0.13326551183865287,0.4012545923706206,-0.28182694639166567,-0.1472041066723227,-0.008146132653572065,-0.3004802461066747,-0.06376108058297819,-0.05666674794757382,-0.43826836526663127,-0.011022876744077426,-0.04012379604331986,-0.36374197722581014,0.06704631848081055,-0.01865351151340535,0.05010228705438238,0.08153656488863809,-0.012107132877492738,-0.04552095778751877,-0.07495075426590841,0.015391848012546089,-0.04601909598817408,-0.09272084511835221,0.40385239145497365,-0.12092368203163198
-0.12558063014781723,0.9083771561443242,-0.394908089279635,-0.06182230856946486,0.924370450082483,-0.10094865359083524,-0.3058601523471544,0.9334205570769379,-0.24253562696498632,-0.2915027091200408,0.9359797044622153,-0.16765740732147116,-0.15962621331776922,0.41669040767782967,-0.38728884032309013,-0.18816699123375752,-0.025018615657151647,-0.37822579348598573,-0.220875101632785,-0.049528912588172186,-0.3213550105571539,-0.06741439210181205,0.430635357367382,-0.03247214381208746,-0.0736599174112667,0.015382515201829566,0.04142375391537931,-0.1283230326020271,-0.015378767408921551,0.002347364358657983,-0.1332512478283715,0.4012507543816197,-0.28183166523984327,-0.14720186398387275,-0.00817960754970705,-0.30050216613606034,-0.06376844288238309,-0.05666322480490403,-0.43827088856570195,-0.011015434102771726,-0.040123296530362826,-0.3637306475383828,0.06706726759298015,-0.01866744551103451,0.050118036180909736,0.08154971262512228,-0.01211615994942676,-0.04551222129470758,-0.07481807255847878,0.015397703675491967,-0.04588399677964933,-0.0927403113260768,0.4038536947122479,-0.12093200579173781
-0.12560548548935196,0.9083922242787456,-0.39488948231977455,-0.06181141318260813,0.9243851521094558,-0.10097014035918521,-0.3058488930165831,0.9334088834551035,-0.2425280401881111,-0.2915174087434514,0.9359812267414274,-0.16762606401244692,-0.15964514943995473,0.41668163973337,-0.38728825553634716,-0.18822189728870103,-0.02501091534959276,-0.37823309765315505,-0.22112347667396193,-0.049531276658208626,-0.3214975161171689,-0.06739067643465957,0.43063242845080174,-0.03248283545322361,-0.07365472890594599,0.015399058733694265,0.041436936824124276,-0.1281045787628033,-0.015515279661143105,0.002236418141256191,-0.13326792213393102,0.40125032775326797,-0.2818068022875777,-0.14722688863860756,-0.008196689551970435,-0.30053602156976134,-0.06377925060511908,-0.056689983801551685,-0.4382717519038006,-0.011035439142415171,-0.04013074356994434,-0.3637313765262669,0.0670625704968926,-0.01867504024155299,0.05009111146349807,0.08153059375865937,-0.01211439409947862,-0.04550193461336072,-0.07482590015280355,0.015425449924658732,-0.045910616389418485,-0.09272769677825005,0.4038560364910194,-0.12095019054192338
-0.12566817452015727,0.9084232790887736,-0.39485092509735364,-0.06178894454498324,0.9244049654543396,-0.10102056098593454,-0.305886595445301,0.9334261657641089,-0.24247261718478016,-0.2914805415518779,0.9359612617586217,-0.16759302070713328,-0.15963990726189758,0.41668494166310244,-0.38733539522550886,-0.18815293052652032,-0.02500574433387258,-0.37828404438773866,-0.2210948181260886,-0.04952019220555667,-0.32148245332631875,-0.06736569162705136,0.4306233537302213,-0.03250539816611819,-0.07366553408391047,0.015405829713026342,0.04143440467976822,-0.1281211818068113,-0.01550003002704227,0.002260477846791703,-0.13323227192503134,0.40105584901639185,-0.2817153159811572,-0.147297298271042,-0.008136753956496878,-0.30045406398089564,-0.06377017457371664,-0.05666557694307727,-0.43827417841207217,-0.011049268038799964,-0.04013744362399525,-0.3637253503011223,0.06708681882609413,-0.018611689099347233,0.050100169683309964,0.08153383912693685,-0.012120091252120914,-0.04550511247388528,-0.07493161881192378,0.015399743967493412,-0.0459606228360932,-0.09273900125115708,0.4038501147328454,-0.12092862695285705
-0.12571559184337083,0.9084584162015572,-0.3948349778954203,-0.06176770417624944,0.9244360370332405,-0.10105043837205954,-0.30587104938422666,0.9334322078193684,-0.24248470551979023,-0.29149017153456785,0.9359500756601137,-0.16758463249936545,-0.1596548372959416,0.4166851654679081,-0.38732933317595003,-0.18818601014074127,-0.02501597296396281,-0.37826433402857207,-0.22106607736432732,-0.04954019350483087,-0.3214577205490641,-0.06732533486478337,0.430625078330445,-0.03251764330128762,-0.07366223299573665,0.015393489848853456,0.04143629563457024,-0.12830064289369725,-0.015413719968756581,0.0023407682981755606,-0.1332712873489033,0.4012210608623484,-0.2818043515856179,-0.14729721455355066,-0.008132198360541326,-0.3004389684352656,-0.06377619713557109,-0.0566698100542349,-0.438267075252871,-0.011047070687306149,-0.04013484562817786,-0.3637354383061354,0.06707946536491186,-0.018618908292307994,0.05011169528939538,0.08151497797495644,-0.012132341207453885,-0.04550153206688165,-0.07492379605864824,0.015377510371303985,-0.04594341540544025,-0.0927336159844428,0.4038223332245968,-0.12095264995780752
-0.12574432852980327,0.9085174469602899,-0.3948103685131786,-0.0617531610283058,0.9244511081512136,-0.10106439312282545,-0.30588953234923827,0.9334555170315793,-0.242500023404223,-0.29150434462160907,0.9359645403573819,-0.16759398690718505,-0.15965162625256174,0.4166737970018554,-0.38732338167160063,-0.18816674437176284,-0.025025270331633334,-0.37827052574893644,-0.22104495230934917,-0.04953568477413438,-0.3214648389173937,-0.06728810931453488,0.43063258252845993,-0.032561614114537424,-0.07365917456020299,0.015387961973522338,0.04142780712490063,-0.12810026903766336,-0.015516377128628606,0.0022545182452707035,-0.13322208598407032,0.4012361338021294,-0.28185052235866676,-0.1472401570809843,-0.008173187719673236,-0.30052152182891656,-0.06378512070494757,-0.05664437223397343,-0.43827737622820967,-0.011042778058414138,-0.04012444919513047,-0.3637337044523101,0.06708136914136265,-0.01861012548133028,0.05011777710191759,0.08151518791534962,-0.012118018442229886,-0.04552893381506254,-0.07495174762957535,0.015402823439308003,-0.045947527251368,-0.09268631625113338,0.40384387920745507,-0.12096196719653644
-0.12581313811765515,0.9085492052600157,-0.3947750176022965,-0.06173598596909696,0.9244567978737476,-0.10107040883223138,-0.30599248976385957,0.9334669986897639,-0.2423984499985017,-0.29152797231698485,0.9359938532077225,-0.16753907032515236,-0.15962630783929926,0.41666466480834974,-0.3872938526136466,-0.1881497395154273,-0.02503834580863995,-0.37823264725151295,-0.22104448049073883,-0.0495280379550709,-0.32142823431759515,-0.06723099876088118,0.4306392954414813,-0.03258218650703634,-0.07365054350618899,0.01540232089017586,0.04140987656985784,-0.1281141756722151,-0.015489655097926748,0.002285186214743995,-0.13320410747402406,0.40122398943110976,-0.28187162413259814,-0.14723482548239314,-0.008179690925141855,-0.30048044724866196,-0.06374258198499927,-0.05668446152529181,-0.4382518070099825,-0.011036869682201356,-0.040131999349328915,-0.36375176971442036,0.06711143052806895,-0.018582321662974813,0.050110997201022495,0.08149738881537233,-0.012128932538990354,-0.04552310030077855,-0.07492497263878517,0.015388674523924659,-0.04593179625373095,-0.09264280990283896,0.40384300529305617,-0.1210028869592644
-0.12588982840587776,0.9085830744402759,-0.3947898140249332,-0.06170426285209346,0.9244471978679515,-0.10110867511172517,-0.30598526825428035,0.9334477511243192,-0.24241616714440178,-0.2914923126338516,0.9359761176450805,-0.1675310418758867,-0.15964604257151693,0.41666914646924785,-0.3872933165083472,-0.18813029331190806,-0.02504181378158201,-0.37823637068452054,-0.22101966193187855,-0.04953879976769973,-0.32144276791205906,-0.06718767098757089,0.43063304947444186,-0.03259032570261847,-0.07364854406315896,0.015402266844990686,0.04142976756512423,-0.12824579863484037,-0.015434244086911006,0.002316186237533324,-0.13319228720558268,0.40124417645123606,-0.2818902187525834,-0.1472317842744082,-0.008157950641097811,-0.3004486988322498,-0.06377084532370886,-0.05670291646403823,-0.43827284452195164,-0.011043020501755707,-0.04014622453862849,-0.36372766235931436,0.06708319372317986,-0.01860104312345641,0.05010041013952796,0.08152407563206482,-0.01214482980915868,-0.045521265526400845,-0.07487542955151638,0.015359353625434322,-0.04596928345871623,-0.09264717529130101,0.40384914990051834,-0.12098216238950503
