FF_TX,FF_TY,FF_TZ,FF_Rquat0,FF_Rquat1,FF_Rquat2,FF_Rquat3,Hip_Z_R,Hip_X_R,Hip_Y_R,Knee_Z_R,Ankle_Z_R,Ankle_X_R,Hip_Z_L,Hip_X_L,Hip_Y_L,Knee_Z_L,Ankle_Z_L,Ankle_X_L
0.3729485064781863,1.076679424245395,0.06893962095559017,0.048935110382609726,0.9984399136812542,0.008747729401494155,0.02542782671758483,0.10391840575371124,-0.1259715799728997,0.012346580578759982,-0.3645785720900415,0.08645736855299684,0.1485398488305676,0.08749778051160388,0.1726677514509159,0.09243679177554387,-0.3731067308205191,0.08766078877062501,-0.16225403727079651
0.37297135310841395,1.0764821129868647,0.06895664432182914,0.046424574091595255,0.9985160772868401,0.012074803157022276,0.025779865182626486,0.1100024696095041,-0.1187833239946073,0.012979451928509507,-0.36581835482746405,0.08120305301282671,0.1632919011155712,0.0939091121943925,0.18075500311639997,0.09280368078941392,-0.37548143733956074,0.09169764446476021,-0.17501714967016752
0.37296402383867566,1.0763993263371954,0.06895234801300737,0.0454919453005302,0.9985422099675797,0.012846270384266726,0.02605592376120748,0.11212434428692582,-0.11711826229386497,0.01303312629476862,-0.3657661954501217,0.07988138319877681,0.17035539068716174,0.0961441455838923,0.1827896903228192,0.09302596655428419,-0.3762584893215048,0.09205124680757068,-0.18328539113402542
0.3728901580014951,1.0763807879215581,0.06895803160313918,0.04516346065960488,0.9985500352987101,0.01294817139402301,0.02627610480539588,0.11292570939066789,-0.1169543682935954,0.013344912540516488,-0.3658922359162818,0.07955709150141597,0.17411994676260997,0.09672074391881275,0.1831596968755053,0.09348309400438479,-0.3764011885037764,0.0923248393248337,-0.18746045444603743
0.37288312370707044,1.076370659537789,0.06895197773245193,0.0449870731596614,0.9985528324485441,0.012950004602955712,0.026470765729394864,0.11330082943764375,-0.11694453501623978,0.013616242384512475,-0.365730319358321,0.07948065939697503,0.17603727925381424,0.09709112132166942,0.18326260332711694,0.09360592696052494,-0.3765931084394645,0.09262851267198875,-0.18885347661673757
0.37287462393679643,1.0763931855594149,0.0689455341439951,0.04487356274351414,0.9985577867279102,0.012966081179046284,0.026468673382314817,0.11343463844080622,-0.11693575861383396,0.013752674612678064,-0.3655543429794032,0.07941130826628534,0.17735253733053635,0.09720154632837863,0.18331126230191416,0.0938291459504026,-0.3763093410543695,0.09255417259238549,-0.1893563463529048
0.37280185156219053,1.0763706837916402,0.06894051354731184,0.04483545688617257,0.998557129995435,0.012943834282659213,0.026568724003065976,0.11350526242277637,-0.1169676253402395,0.013746951113347061,-0.36555211790843967,0.07948640918420614,0.17809293463735126,0.09719220569978916,0.18331137002587672,0.09412257100667408,-0.3763688007115506,0.09277572441259889,-0.18949189018775606
0.3727461354060111,1.076391968973325,0.06891299280050889,0.04474488017779488,0.9985593730975811,0.012960807062360689,0.026628773481570216,0.11351644326564968,-0.11687583994861796,0.013959586862136877,-0.36530011036475085,0.07938446888724084,0.1781874100383195,0.09717422776368921,0.18337749203275988,0.09421231090132962,-0.37612140477209943,0.09240441028828505,-0.1902233691759739
0.37270507215426973,1.0763865263866683,0.06891015742192289,0.04476105916805498,0.9985603047803925,0.012958252002635822,0.026567818956018067,0.11348320963013282,-0.11690376227713042,0.013884805631646222,-0.36545583765747763,0.07947531757012757,0.17832005227182354,0.09711413625537187,0.18338745993460595,0.09417356080931155,-0.37611404203371757,0.0923614806603152,-0.19076526849877598
0.3726900282820222,1.0763898686959372,0.06889118373757466,0.044701340983871476,0.9985640407037498,0.013033268734583657,0.026491142552474027,0.11347948610169589,-0.11673184940073933,0.013694301662257352,-0.36529219472687785,0.07943122562337263,0.1782677337079195,0.09736832502778475,0.1835668648073973,0.09391414162518336,-0.3763494017226753,0.09236437963309738,-0.1910138951232882
