FF_TX,FF_TY,FF_TZ,FF_Rquat0,FF_Rquat1,FF_Rquat2,FF_Rquat3,Hip_Z_R,Hip_X_R,Hip_Y_R,Knee_Z_R,Ankle_Z_R,Ankle_X_R,Hip_Z_L,Hip_X_L,Hip_Y_L,Knee_Z_L,Ankle_Z_L,Ankle_X_L
0.3556726622241354,1.0338988443617942,0.08755195502105981,-0.10323186748861558,0.9941584381539926,-0.018539812317963034,0.02546486852996894,0.45311581143630486,-0.19667253248140737,-0.04641704767269711,-0.3975722982849267,0.027912783242606203,0.1149793691198052,0.4390839487441832,0.09956634627139908,0.07680422170259289,-0.386346041650201,0.06200556208090999,-0.11982143903161004
0.35582187395541093,1.03396998440864,0.08731043044185327,-0.10270692591043401,0.9942278550276378,-0.017360540654540797,0.02570741693272511,0.4535342297815698,-0.1939520882385168,-0.04487955113609781,-0.400864870707648,0.027036879216675063,0.12988684772667025,0.4371620605547853,0.10322162010213233,0.0751850145791615,-0.38464074258141595,0.0624949182612714,-0.16492738241113117
0.355810116507116,1.033985313298227,0.08720957705214716,-0.10264033940688881,0.9942409825487519,-0.01713787915060272,0.025614887178169787,0.45355660443457474,-0.1935137728478567,-0.04479910938417718,-0.40142463068665285,0.02683636231585237,0.1370388746572563,0.4369592006157028,0.10424941247177363,0.07461448997778977,-0.38451945084879846,0.06236550570518347,-0.18701529165352693
0.3557950783018483,1.0340000648636753,0.08714525106563119,-0.10271433279863358,0.9942374813054786,-0.01706633534124795,0.025501701964565707,0.45364662100942715,-0.19341006409658645,-0.044994617567865124,-0.4014836018064288,0.02665838420910501,0.14026115678907433,0.4371082306548128,0.10464283196430833,0.07514623859947872,-0.3844054322229905,0.062022063337973686,-0.1971698641678239
0.35579409136328166,1.0339983924434937,0.08708455432212121,-0.10272086348834406,0.9942409534698741,-0.01700183221324966,0.025382835714654276,0.4536669846447366,-0.19330736275529276,-0.045170536823438454,-0.4017068751640459,0.026687293169498562,0.14165179817978243,0.4370932867568128,0.10489747838545628,0.07462986474466027,-0.3843446324106378,0.062105601726466765,-0.2019202484574786
0.3557670386507548,1.0340080163966572,0.08705557470475501,-0.10275752961111329,0.9942400122216473,-0.016941819842074858,0.025311320513919402,0.4537536834462922,-0.19321885242720524,-0.04521062217662229,-0.4018721609818483,0.02666967177932215,0.1424017923229812,0.43711353796985825,0.10506642815216437,0.07437710126602155,-0.3843272650114083,0.0620422123355241,-0.20389060259913458
0.3557629466913647,1.0339982252133118,0.08701180751446795,-0.10276392834387457,0.9942428814853651,-0.016883449286123755,0.02521144159337507,0.4537394872293548,-0.19306460532415665,-0.04525761178354979,-0.40194219129551256,0.026889865774950783,0.14253928740818653,0.4371293228593033,0.10521991361624179,0.07437647182903398,-0.38418253186061935,0.06211340801437769,-0.20507376702197722
0.3557456903116234,1.0340037305051537,0.08696223507110236,-0.10278648547573109,0.9942429794433996,-0.016866320047527462,0.02512694727007818,0.4537903318157513,-0.19301823896457249,-0.04560242537999268,-0.4020382771593996,0.02677474694685566,0.14242888834769293,0.4371839282674592,0.10526830963799841,0.0745001701794045,-0.38408443739813536,0.06192349640276212,-0.20534567400621986
0.3557197261998332,1.0340190165975,0.08691658660095043,-0.10273954250744466,0.9942480941182149,-0.016894905466220408,0.025097328880696275,0.45370870492635307,-0.19304683569303766,-0.04551902408776096,-0.40220108126172965,0.026806492577209816,0.1423791616021744,0.437005323666916,0.10523832081513652,0.0745147107989745,-0.3840013700944145,0.06193934891982118,-0.20548330751202812
0.35571921289763847,1.034010592795432,0.08687276517458743,-0.1027250039899651,0.9942531697765312,-0.016841252185654763,0.024991601977486837,0.45371124341060326,-0.19297143053416285,-0.04570005922759993,-0.402437188118049,0.027025295137216323,0.1424595035110075,0.4370941727208086,0.10534969113185735,0.07431889748753985,-0.38418614243459986,0.0618878233259846,-0.20575741096369501
