FF_TX,FF_TY,FF_TZ,FF_Rquat0,FF_Rquat1,FF_Rquat2,FF_Rquat3,Hip_Z_R,Hip_X_R,Hip_Y_R,Knee_Z_R,Ankle_Z_R,Ankle_X_R,Hip_Z_L,Hip_X_L,Hip_Y_L,Knee_Z_L,Ankle_Z_L,Ankle_X_L
0.3395673225004569,1.0167846975067434,0.07791422817674423,0.05747288549728419,-0.9977253973631733,-0.03140780332219924,0.015951784440906155,0.19219225275771223,-0.09612023863633014,-0.10393209564020503,-0.16283088227275616,-0.01804961092589001,0.02167806579883135,0.2490720189116822,0.1994143832801102,-0.007846802625672701,-0.22924948293111852,-0.008343202940145959,-0.2346076823926812
0.3396825510589291,1.016655754351068,0.07823457879330523,0.06098728171815513,-0.9975092527249356,-0.031814095108346215,0.015611071366433034,0.20037366728891048,-0.09577810244951453,-0.10400886332591507,-0.1631320210747094,-0.020534588381091453,0.02402533946401089,0.25726795623630233,0.19962527928511922,-0.008751918009937031,-0.2301860299688338,-0.008687358344351009,-0.2296390932623737
0.33968638255373107,1.0163781633757167,0.07799888796508432,0.062294159710464585,-0.9974257628851823,-0.031612595129631736,0.01618422157686396,0.20333865562031447,-0.09620505549675284,-0.10515247080127646,-0.16380514902889065,-0.020229471001452552,0.025604957891926048,0.26082007534753826,0.19919803222915883,-0.009990262779565924,-0.23104618083043343,-0.008861600142380027,-0.2258258336778744
0.339736984618011,1.0163053856410067,0.07804526177963454,0.0630300948065527,-0.9973769593338575,-0.03160623249153891,0.016354027220118653,0.2050959937805956,-0.09638934485707044,-0.10568769748489446,-0.1642380116994065,-0.020151022699040864,0.026800876040904458,0.26287911164124084,0.1989445783356614,-0.010672123580791124,-0.23160567152208297,-0.008794380351262635,-0.22263716694401192
0.33858802980801556,1.0163326479476498,0.07767306772467979,0.06300485858616875,-0.997383774314283,-0.03065353977887471,0.017786371978486305,0.20218657942864293,-0.09813077764780288,-0.10823735694514561,-0.16243571476027346,-0.018743191452792997,0.027233286855682874,0.2611325999231454,0.1969950470445913,-0.01222898401235533,-0.2298866061095389,-0.00879054860857404,-0.22061073378732074
0.33977217662905235,1.0162875484656018,0.07808483501061159,0.06301135429477525,-0.9973781022499748,-0.031309871381937054,0.01691692454979962,0.20480580809902124,-0.09723572351568649,-0.10729073782949819,-0.16410615600840064,-0.019470682348708114,0.028005272929993587,0.2629965824162116,0.19799845836382635,-0.011970672911587982,-0.23138938470367124,-0.009414463407019914,-0.21887241550946682
0.33962697746890885,1.0163633156044012,0.0782391619657597,0.06281850056947282,-0.9974100270353946,-0.030869702763966708,0.01655703496163305,0.20435939412891324,-0.09830569578455124,-0.10647308282445454,-0.1641782477073213,-0.019613529768033672,0.02887278063867746,0.26204497923610404,0.19696908075888303,-0.011188964341592646,-0.23126907281678127,-0.009598174885867084,-0.21742237560684602
0.3398275912833081,1.0162587665773373,0.07806468417390902,0.06321259842613267,-0.9973721049308811,-0.031224089694678644,0.016676568253050434,0.20556174134498856,-0.09740619060865634,-0.10649762688717085,-0.16450013583774803,-0.019594375785649164,0.02930675025873852,0.263361714786419,0.19788457344342003,-0.011391746193660776,-0.23147772964401064,-0.009583268653576475,-0.21636700143420814
0.3397715989143993,1.0162458425999392,0.07810120319012817,0.06353001050122238,-0.9973486484225429,-0.03136916431972895,0.016600806767243723,0.20636969824647508,-0.0971642704776039,-0.10675693346723539,-0.16480313743003466,-0.01964163038697724,0.02964935103427745,0.2639401391024976,0.19817925869780673,-0.011339275156500413,-0.2314650581452386,-0.009561747961786634,-0.21569661687639616
0.33991671369478627,1.0162166964326598,0.07808643186478795,0.06353696968395431,-0.9973442794915334,-0.03142448212316559,0.016731514342259602,0.2066637916879911,-0.09709034526576808,-0.10711064508956979,-0.16508108467418553,-0.019329495912285617,0.029892119252507645,0.26432180039435826,0.19828129641602266,-0.01145013293505237,-0.23168923926207816,-0.009620087818853413,-0.21519084731931948
