0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Frame#,Time,Neck,,,RShoulder,,,RElbow,,,RWrist,,,LShoulder,,,LElbow,,,LWrist,,,midHip,,,RHip,,,RKnee,,,RAnkle,,,LHip,,,LKnee,,,LAnkle,,,LBigToe,,,LSmallToe,,,LHeel,,,RBigToe,,,RSmallToe,,,RHeel,,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,
9,0.1333333,-3.8276000,1.1154000,0.1059000,-3.8686400,1.1119700,0.2809900,-4.0596200,0.8976900,0.4119400,-3.9661300,0.6591400,0.4513800,-3.8185200,1.1177600,-0.0594700,-3.9817400,0.9009100,-0.1713700,-3.7976700,0.7209500,-0.0937300,-3.9844100,0.5829600,0.1443000,-3.9654000,0.5914400,0.2533200,-3.8797500,0.2140700,0.2833500,-4.1779300,-0.1790700,0.3081800,-3.9801700,0.5762600,0.0289800,-4.0772600,0.1723100,0.0009700,-4.4137800,-0.1466800,-0.0456500,-4.3070300,-0.2951600,-0.0705000,-4.3766300,-0.2686000,-0.1247200,-4.5198900,-0.1748000,-0.0251300,-4.0554200,-0.2937000,0.3404700,-4.1002600,-0.2737500,0.4002100,-4.2712600,-0.2174200,0.2962900,
10,0.1500000,-3.8191900,1.1085800,0.1079000,-3.8241900,1.1076600,0.2928000,-4.0185500,0.8872000,0.4263200,-3.8928900,0.6553000,0.4562000,-3.7801900,1.1128900,-0.0576100,-3.9645300,0.8978000,-0.1675300,-3.7955500,0.7114600,-0.0975800,-3.9454400,0.5826900,0.1545000,-3.9375300,0.5883400,0.2625300,-3.8745200,0.1997900,0.2813100,-4.1708400,-0.1784100,0.3104200,-3.9411000,0.5738700,0.0395200,-4.0198800,0.1661500,0.0129100,-4.3734300,-0.1202900,-0.0466900,-4.3032100,-0.2935400,-0.0694500,-4.3689700,-0.2547200,-0.1181500,-4.4898100,-0.1517500,-0.0191600,-4.0593700,-0.2930300,0.3395000,-4.1018000,-0.2748700,0.4013700,-4.2605100,-0.2134400,0.3030100,
11,0.1666667,-3.7980700,1.1038600,0.1116900,-3.7883100,1.1058700,0.2970900,-3.9627500,0.8708500,0.4374900,-3.8087100,0.6550700,0.4522000,-3.7424200,1.1101100,-0.0545900,-3.9378800,0.8965600,-0.1657000,-3.7860200,0.7090200,-0.1031900,-3.9170200,0.5808000,0.1589300,-3.9203300,0.5855000,0.2674700,-3.8723100,0.1861400,0.2808400,-4.1646200,-0.1845200,0.3123500,-3.9069200,0.5714200,0.0462000,-3.9554500,0.1619000,0.0241100,-4.3343300,-0.1023100,-0.0389200,-4.2928000,-0.2851000,-0.0644700,-4.3512100,-0.2393600,-0.1103500,-4.4595100,-0.1309100,-0.0100700,-4.0614300,-0.2937800,0.3388900,-4.1046700,-0.2762600,0.4032400,-4.2523900,-0.2165100,0.3088400,
12,0.1833333,-3.7602300,1.0993500,0.1190200,-3.7569900,1.1036100,0.2914800,-3.8921400,0.8561600,0.4413000,-3.7150500,0.6443900,0.4431200,-3.7099400,1.1066100,-0.0504200,-3.9062400,0.8974100,-0.1683600,-3.7654900,0.7058600,-0.1131100,-3.8937400,0.5753500,0.1570600,-3.9044000,0.5819500,0.2673900,-3.8726700,0.1736800,0.2819400,-4.1615000,-0.1945000,0.3131000,-3.8804100,0.5666300,0.0468300,-3.8772200,0.1578500,0.0349100,-4.2913200,-0.0845700,-0.0239400,-4.2576000,-0.2759500,-0.0491300,-4.3159400,-0.2250100,-0.0953200,-4.4216200,-0.1064300,0.0018500,-4.0583100,-0.2955100,0.3395300,-4.1069100,-0.2800400,0.4037900,-4.2445800,-0.2222400,0.3105900,
13,0.2000000,-3.7162000,1.0972000,0.1280800,-3.7214400,1.0989900,0.2801700,-3.8251200,0.8460200,0.4376400,-3.6164400,0.6477800,0.4307300,-3.6861900,1.1031400,-0.0469400,-3.8774400,0.8974200,-0.1750100,-3.7347500,0.7056900,-0.1261400,-3.8653500,0.5708500,0.1503400,-3.8817200,0.5795600,0.2632700,-3.8765200,0.1634600,0.2845500,-4.1606300,-0.2021400,0.3130100,-3.8541500,0.5628200,0.0419700,-3.7956600,0.1650900,0.0443100,-4.2421400,-0.0647300,-0.0059100,-4.2016800,-0.2585300,-0.0256800,-4.2656400,-0.2155500,-0.0720800,-4.3730500,-0.0837900,0.0156700,-4.0539400,-0.2984200,0.3404800,-4.1096000,-0.2862200,0.4017700,-4.2372500,-0.2254500,0.3084300,
14,0.2166667,-3.6797000,1.0965600,0.1338900,-3.6830100,1.0903600,0.2718200,-3.7761900,0.8375300,0.4322000,-3.5250900,0.6594300,0.4118200,-3.6703000,1.1005600,-0.0443700,-3.8554000,0.8981300,-0.1817100,-3.7011400,0.7048800,-0.1374700,-3.8329100,0.5681200,0.1433100,-3.8539700,0.5765500,0.2584300,-3.8821700,0.1525900,0.2877800,-4.1625000,-0.2051700,0.3121500,-3.8222700,0.5603600,0.0360800,-3.7191800,0.1736000,0.0530400,-4.1860600,-0.0533900,0.0128500,-4.1366100,-0.2384200,-0.0003400,-4.2035500,-0.2146800,-0.0436800,-4.3273100,-0.0629500,0.0297100,-4.0543200,-0.3004700,0.3404900,-4.1134800,-0.2896200,0.3980200,-4.2360300,-0.2261700,0.3049700,
15,0.2333333,-3.6512200,1.0978400,0.1323300,-3.6460400,1.0839400,0.2720400,-3.7453000,0.8328700,0.4293800,-3.4497900,0.6841400,0.3851400,-3.6566700,1.1016200,-0.0419600,-3.8349200,0.8980400,-0.1863400,-3.6748400,0.7041300,-0.1449800,-3.8013100,0.5620700,0.1410800,-3.8232200,0.5687100,0.2554400,-3.8866000,0.1413000,0.2897100,-4.1678100,-0.2065700,0.3101300,-3.7850100,0.5563200,0.0352400,-3.6574400,0.1913400,0.0611900,-4.1296300,-0.0432200,0.0313300,-4.0682300,-0.2299200,0.0271700,-4.1340400,-0.2101900,-0.0127900,-4.2806000,-0.0513800,0.0467000,-4.0568800,-0.3030100,0.3400100,-4.1173100,-0.2887200,0.3956900,-4.2387000,-0.2270500,0.3027900,
16,0.2500000,-3.6221000,1.1020400,0.1234100,-3.6122900,1.0834200,0.2779500,-3.7235000,0.8405600,0.4271500,-3.3859700,0.7197400,0.3535000,-3.6401800,1.1037600,-0.0407600,-3.8127100,0.9028200,-0.1903800,-3.6596300,0.7041800,-0.1497100,-3.7676900,0.5604900,0.1432200,-3.7873000,0.5638400,0.2536800,-3.8896500,0.1341200,0.2893900,-4.1732000,-0.2077100,0.3081200,-3.7453700,0.5550600,0.0406100,-3.6095200,0.2080000,0.0689300,-4.0747800,-0.0463400,0.0499200,-4.0081600,-0.2276500,0.0613100,-4.0544400,-0.2203000,0.0194400,-4.2163200,-0.0629800,0.0688000,-4.0563000,-0.3029600,0.3403800,-4.1207400,-0.2872700,0.3964200,-4.2359500,-0.2283100,0.3033100,
17,0.2666667,-3.5900700,1.1051900,0.1119000,-3.5813400,1.0912900,0.2822400,-3.6926700,0.8562600,0.4204900,-3.3307900,0.7567600,0.3221100,-3.6143700,1.1060500,-0.0433900,-3.7935900,0.9068400,-0.1948800,-3.6532700,0.7069000,-0.1525600,-3.7281900,0.5638200,0.1466900,-3.7457200,0.5625300,0.2533200,-3.8906200,0.1380000,0.2878900,-4.1752800,-0.2037400,0.3088000,-3.7085400,0.5621700,0.0478100,-3.5655100,0.2219000,0.0772800,-4.0193900,-0.0617400,0.0709700,-3.9604400,-0.2271600,0.1034500,-3.9736400,-0.2217000,0.0532200,-4.1411400,-0.0819600,0.0931600,-4.0528700,-0.2982200,0.3416500,-4.1244100,-0.2847800,0.3980300,-4.2241800,-0.2286800,0.3062100,
18,0.2833333,-3.5606100,1.1074200,0.1031900,-3.5469100,1.1024800,0.2795700,-3.6380300,0.8714200,0.4089800,-3.2883400,0.7873300,0.2974500,-3.5722000,1.1101700,-0.0510700,-3.7812100,0.9129800,-0.1986400,-3.6517800,0.7087300,-0.1533300,-3.6893300,0.5755400,0.1507100,-3.7061000,0.5740400,0.2557600,-3.8796400,0.1520700,0.2886400,-4.1748500,-0.1986500,0.3127200,-3.6790200,0.5722300,0.0531900,-3.5164600,0.2374700,0.0844600,-3.9556600,-0.0800700,0.0970000,-3.9059600,-0.2402100,0.1498600,-3.8859700,-0.2210800,0.0898400,-4.0674200,-0.0989400,0.1177100,-4.0454700,-0.3004300,0.3433600,-4.1224400,-0.2923200,0.3987400,-4.2121900,-0.2280200,0.3084000,
